transaction_id,customer_id,invoice_id,transaction_date,amount,payment_status,payment_method,gateway_reference
TXN1194,CUST015,INV1194,2026-08-03,8180,SUCCESS,RTGS,GW1194
TXN1091,CUST064,INV1091,2026-08-24,3160,SUCCESS,RTGS,GW1091
TXN1006,CUST046,INV1006,2026-08-24,3320,SUCCESS,Netbanking,GW1006
TXN1001,CUST015,INV1001,2026-07-02,2750,SUCCESS,Netbanking,GW1001
TXN1116,CUST053,INV1116,2026-08-14,9720,SUCCESS,Card,GW1116
TXN1145,CUST038,INV1145,2026-08-17,18180,SUCCESS,UPI,GW1145
TXN1102,CUST062,INV1102,2026-07-08,1040,SUCCESS,Card,GW1102
TXN1112,CUST011,INV1112,2026-08-08,34160,SUCCESS,RTGS,GW1112
TXN1052,CUST053,INV1052,2026-07-02,17070,SUCCESS,Netbanking,GW1052
TXN1108,CUST037,INV1108,2026-08-15,16520,SUCCESS,UPI,GW1108
TXN1160,CUST017,INV1160,2026-08-17,23720,SUCCESS,UPI,GW1160
TXN1127,CUST050,INV1127,2026-07-15,30430,SUCCESS,IMPS,GW1127
TXN1003,CUST078,INV1003,2026-07-02,41300,SUCCESS,Card,GW1003
TXN1009,CUST013,INV1009,2026-07-25,12430,SUCCESS,NEFT,GW1009
TXN1140,CUST002,INV1140,2026-08-06,39870,SUCCESS,IMPS,GW1140
TXN1070,CUST058,INV1070,2026-08-27,17180,SUCCESS,IMPS,GW1070
TXN1188,CUST046,INV1188,2026-07-05,3750,SUCCESS,IMPS,GW1188
TXN1141,CUST078,INV1141,2026-08-21,3390,SUCCESS,Card,GW1141
TXN1046,CUST065,INV1046,2026-08-01,2560,SUCCESS,UPI,GW1046
TXN1072,CUST037,INV1072,2026-07-16,30480,SUCCESS,UPI,GW1072
TXN1089,CUST056,INV1089,2026-08-22,2700,SUCCESS,UPI,GW1089
TXN1191,CUST022,INV1191,2026-08-21,18630,SUCCESS,UPI,GW1191
TXN1092,CUST036,INV1092,2026-08-26,20330,SUCCESS,NEFT,GW1092
TXN1002,CUST012,INV1002,2026-08-07,3960,SUCCESS,NEFT,GW1002
TXN1015,CUST052,INV1015,2026-07-24,7270,SUCCESS,UPI,GW1015
TXN1103,CUST020,INV1103,2026-08-21,2990,SUCCESS,Card,GW1103
TXN1084,CUST004,INV1084,2026-08-29,14430,SUCCESS,IMPS,GW1084
TXN1178,CUST044,INV1178,2026-07-11,10110,SUCCESS,Card,GW1178
TXN1117,CUST012,INV1117,2026-07-21,10300,SUCCESS,Card,GW1117
TXN1087,CUST087,INV1087,2026-08-15,8500,SUCCESS,NEFT,GW1087
TXN1114,CUST061,INV1114,2026-08-03,25950,SUCCESS,IMPS,GW1114
TXN1051,CUST046,INV1051,2026-08-19,3830,SUCCESS,NEFT,GW1051
TXN1156,CUST032,INV1156,2026-07-09,47190,SUCCESS,NEFT,GW1156
TXN1203,CUST020,INV1203,2026-07-04,6700,REFUNDED,Netbanking,GW1203
TXN1004,CUST058,INV1004,2026-08-07,2780,SUCCESS,NEFT,GW1004
TXN1045,CUST020,INV1045,2026-07-18,26900,SUCCESS,RTGS,GW1045
TXN1081,CUST006,INV1081,2026-08-18,750,SUCCESS,Card,GW1081
TXN1029,CUST013,INV1029,2026-08-12,10800,SUCCESS,IMPS,GW1029
TXN1159,CUST002,INV1159,2026-07-23,2450,SUCCESS,NEFT,GW1159
TXN1056,CUST043,INV1056,2026-08-30,6890,SUCCESS,NEFT,GW1056
TXN1019,CUST034,INV1019,2026-08-02,1960,SUCCESS,Netbanking,GW1019
TXN1066,CUST054,INV1066,2026-08-26,16770,SUCCESS,IMPS,GW1066
TXN1120,CUST004,INV1120,2026-08-10,16630,SUCCESS,Card,GW1120
TXN1035,CUST063,INV1035,2026-07-10,2060,SUCCESS,Card,GW1035
TXN1098,CUST036,INV1098,2026-08-16,4800,SUCCESS,NEFT,GW1098
TXN1011,CUST032,INV1011,2026-07-11,28850,SUCCESS,Netbanking,GW1011
TXN1115,CUST061,INV1115,2026-07-23,30520,SUCCESS,UPI,GW1115
TXN1016,CUST020,INV1016,2026-08-10,17980,SUCCESS,Card,GW1016
TXN1067,CUST019,INV1067,2026-08-11,540,SUCCESS,IMPS,GW1067
TXN1198,CUST009,INV1198,2026-07-31,15340,FAILED,Card,GW1198
TXN1071,CUST036,INV1071,2026-08-19,4770,SUCCESS,RTGS,GW1071
TXN1110,CUST019,INV1110,2026-07-05,7720,SUCCESS,Card,GW1110
TXN1062,CUST071,INV1062,2026-08-23,500,SUCCESS,IMPS,GW1062
TXN1083,CUST022,INV1083,2026-08-08,1440,SUCCESS,RTGS,GW1083
TXN1007,CUST016,INV1007,2026-08-29,6290,SUCCESS,Netbanking,GW1007
TXN1163,CUST057,INV1163,2026-07-05,1160,SUCCESS,UPI,GW1163
TXN1018,CUST035,INV1018,2026-08-19,6830,SUCCESS,NEFT,GW1018
TXN1078,CUST055,INV1078,2026-07-09,7980,SUCCESS,IMPS,GW1078
TXN1167,CUST059,INV1167,2026-07-26,16950,SUCCESS,IMPS,GW1167
TXN1179,CUST077,INV1179,2026-07-06,25160,SUCCESS,UPI,GW1179
TXN1054,CUST059,INV1054,2026-07-23,3000,SUCCESS,NEFT,GW1054
TXN1068,CUST067,INV1068,2026-07-30,910,SUCCESS,IMPS,GW1068
TXN1188D,CUST046,INV1188,2026-07-05,3750,SUCCESS,IMPS,GW1188
TXN1049,CUST005,INV1049,2026-08-23,3520,SUCCESS,IMPS,GW1049
TXN1204,CUST011,INV1204,2026-09-01,28120,SUCCESS,IMPS,GW1204
TXN1124,CUST036,INV1124,2026-08-19,45810,SUCCESS,RTGS,GW1124
TXN1189D,CUST003,INV1189,2026-07-30,30260,SUCCESS,IMPS,GW1189
TXN1060,CUST040,INV1060,2026-08-12,33190,SUCCESS,RTGS,GW1060
TXN1126,CUST043,INV1126,2026-08-05,11180,SUCCESS,NEFT,GW1126
TXN1074,CUST070,INV1074,2026-07-30,6020,SUCCESS,IMPS,GW1074
TXN1142,CUST013,INV1142,2026-08-27,10060,SUCCESS,UPI,GW1142
TXN1048,CUST071,INV1048,2026-08-15,4000,SUCCESS,UPI,GW1048
TXN1192,CUST014,INV1192,2026-07-16,33120,SUCCESS,UPI,GW1192
TXN1107,CUST001,INV1107,2026-07-27,16300,SUCCESS,RTGS,GW1107
TXN1128,CUST020,INV1128,2026-08-01,36460,SUCCESS,RTGS,GW1128
TXN1121,CUST053,INV1121,2026-07-06,2340,SUCCESS,IMPS,GW1121
TXN1104,CUST077,INV1104,2026-08-20,17710,SUCCESS,IMPS,GW1104
TXN1136,CUST060,INV1136,2026-08-10,28370,SUCCESS,UPI,GW1136
TXN1031,CUST069,INV1031,2026-07-29,11910,SUCCESS,IMPS,GW1031
TXN1069,CUST068,INV1069,2026-08-05,17380,SUCCESS,Card,GW1069
TXN1030,CUST008,INV1030,2026-07-26,3280,SUCCESS,NEFT,GW1030
TXN1149,CUST029,INV1149,2026-08-11,15410,SUCCESS,Netbanking,GW1149
TXN1172,CUST074,INV1172,2026-08-02,7540,SUCCESS,NEFT,GW1172
TXN1096,CUST059,INV1096,2026-07-18,3010,SUCCESS,Netbanking,GW1096
TXN1137,CUST070,INV1137,2026-07-11,31320,SUCCESS,RTGS,GW1137
TXN1176,CUST073,INV1176,2026-08-12,24650,SUCCESS,Netbanking,GW1176
TXN1079,CUST059,INV1079,2026-07-21,17470,SUCCESS,RTGS,GW1079
TXN1057,CUST014,INV1057,2026-08-08,10660,SUCCESS,IMPS,GW1057
TXN1151,CUST069,INV1151,2026-07-09,32160,SUCCESS,Netbanking,GW1151
TXN1061,CUST054,INV1061,2026-08-12,3600,SUCCESS,Card,GW1061
TXN1094,CUST003,INV1094,2026-07-06,33250,SUCCESS,NEFT,GW1094
TXN1106,CUST028,INV1106,2026-07-17,1160,SUCCESS,Card,GW1106
TXN1012,CUST008,INV1012,2026-07-15,18190,SUCCESS,RTGS,GW1012
TXN1113,CUST012,INV1113,2026-07-15,17530,SUCCESS,Card,GW1113
TXN1043,CUST070,INV1043,2026-08-15,46450,SUCCESS,Card,GW1043
TXN1199,CUST008,INV1199,2026-07-23,6220,FAILED,IMPS,GW1199
TXN1042,CUST045,INV1042,2026-08-26,19410,SUCCESS,RTGS,GW1042
TXN1147,CUST016,INV1147,2026-07-30,44540,SUCCESS,RTGS,GW1147
TXN1196,CUST010,INV1196,2026-07-12,44720,SUCCESS,Card,GW1196
TXN1171,CUST055,INV1171,2026-08-25,9710,SUCCESS,RTGS,GW1171
TXN1202,CUST006,INV1202,2026-07-29,10270,REFUNDED,Card,GW1202
TXN1010,CUST027,INV1010,2026-08-12,42400,SUCCESS,UPI,GW1010
TXN1197,CUST073,INV1197,2026-08-11,19160,SUCCESS,NEFT,GW1197
TXN1139,CUST074,INV1139,2026-07-23,2920,SUCCESS,Netbanking,GW1139
TXN1130,CUST061,INV1130,2026-08-20,40420,SUCCESS,IMPS,GW1130
TXN1026,CUST029,INV1026,2026-07-01,1080,SUCCESS,NEFT,GW1026
TXN1076,CUST029,INV1076,2026-07-18,12960,SUCCESS,RTGS,GW1076
TXN1020,CUST078,INV1020,2026-07-13,1750,SUCCESS,Card,GW1020
TXN1040,CUST034,INV1040,2026-07-26,16000,SUCCESS,IMPS,GW1040
TXN1036,CUST008,INV1036,2026-07-04,47940,SUCCESS,NEFT,GW1036
TXN1058,CUST074,INV1058,2026-07-13,5730,SUCCESS,UPI,GW1058
TXN1050,CUST040,INV1050,2026-07-24,830,SUCCESS,Netbanking,GW1050
TXN1125,CUST039,INV1125,2026-08-23,19180,SUCCESS,Card,GW1125
TXN1088,CUST056,INV1088,2026-07-12,28850,SUCCESS,Card,GW1088
TXN1055,CUST052,INV1055,2026-07-22,19160,SUCCESS,RTGS,GW1055
TXN1047,CUST006,INV1047,2026-07-01,24290,SUCCESS,RTGS,GW1047
TXN1190,CUST074,INV1190,2026-07-26,9740,SUCCESS,UPI,GW1190
TXN1158,CUST017,INV1158,2026-08-04,2550,SUCCESS,Netbanking,GW1158
TXN1005,CUST036,INV1005,2026-07-10,2260,SUCCESS,UPI,GW1005
TXN1093,CUST053,INV1093,2026-08-01,35600,SUCCESS,Netbanking,GW1093
TXN1131,CUST069,INV1131,2026-07-25,15270,SUCCESS,Card,GW1131
TXN1109,CUST076,INV1109,2026-08-12,23760,SUCCESS,NEFT,GW1109
TXN1024,CUST026,INV1024,2026-08-15,42010,SUCCESS,RTGS,GW1024
TXN1135,CUST023,INV1135,2026-07-06,3630,SUCCESS,IMPS,GW1135
TXN1033,CUST022,INV1033,2026-07-27,12890,SUCCESS,UPI,GW1033
TXN1193,CUST040,INV1193,2026-08-17,3280,SUCCESS,UPI,GW1193
TXN1165,CUST038,INV1165,2026-07-30,4640,SUCCESS,Netbanking,GW1165
TXN1097,CUST016,INV1097,2026-08-17,4890,SUCCESS,NEFT,GW1097
TXN1144,CUST070,INV1144,2026-08-26,13700,SUCCESS,NEFT,GW1144
TXN1175,CUST024,INV1175,2026-07-18,3030,SUCCESS,NEFT,GW1175
TXN1022,CUST073,INV1022,2026-08-30,6400,SUCCESS,UPI,GW1022
TXN1153,CUST005,INV1153,2026-08-14,8560,SUCCESS,NEFT,GW1153
TXN1034,CUST001,INV1034,2026-07-25,17850,SUCCESS,RTGS,GW1034
TXN1101,CUST074,INV1101,2026-07-19,12840,SUCCESS,NEFT,GW1101
TXN1177,CUST004,INV1177,2026-07-06,8520,SUCCESS,IMPS,GW1177
TXN1168,CUST033,INV1168,2026-07-24,1750,SUCCESS,UPI,GW1168
TXN1080,CUST011,INV1080,2026-07-31,660,SUCCESS,RTGS,GW1080
TXN1090,CUST032,INV1090,2026-08-18,40000,SUCCESS,IMPS,GW1090
TXN1037,CUST011,INV1037,2026-08-24,2020,SUCCESS,Netbanking,GW1037
TXN1170,CUST008,INV1170,2026-08-07,15980,SUCCESS,RTGS,GW1170
TXN1150,CUST015,INV1150,2026-07-09,5610,SUCCESS,UPI,GW1150
TXN1021,CUST042,INV1021,2026-08-01,6830,SUCCESS,NEFT,GW1021
TXN1195,CUST031,INV1195,2026-07-07,1700,SUCCESS,Card,GW1195
TXN1039,CUST075,INV1039,2026-08-06,4780,SUCCESS,Netbanking,GW1039
TXN1155,CUST012,INV1155,2026-08-12,40960,SUCCESS,UPI,GW1155
TXN1169,CUST012,INV1169,2026-07-28,17200,SUCCESS,NEFT,GW1169
TXN1065,CUST026,INV1065,2026-07-10,5760,SUCCESS,Card,GW1065
TXN1205,CUST057,INV1205,2026-09-01,14990,SUCCESS,RTGS,GW1205
TXN1099,CUST047,INV1099,2026-07-12,43200,SUCCESS,NEFT,GW1099
TXN1200,CUST005,INV1200,2026-07-04,3520,FAILED,Netbanking,GW1200
TXN1143,CUST012,INV1143,2026-08-28,10350,SUCCESS,NEFT,GW1143
TXN1025,CUST058,INV1025,2026-07-08,8680,SUCCESS,UPI,GW1025
TXN1085,CUST076,INV1085,2026-08-14,6670,SUCCESS,Netbanking,GW1085
TXN1017,CUST049,INV1017,2026-08-08,28240,SUCCESS,UPI,GW1017
TXN1086,CUST006,INV1086,2026-07-23,12020,SUCCESS,UPI,GW1086
TXN1166,CUST071,INV1166,2026-08-16,2260,SUCCESS,IMPS,GW1166
TXN1162,CUST039,INV1162,2026-07-30,6000,SUCCESS,IMPS,GW1162
TXN1014,CUST034,INV1014,2026-07-09,38400,SUCCESS,RTGS,GW1014
TXN1154,CUST048,INV1154,2026-08-04,5990,SUCCESS,NEFT,GW1154
TXN1174,CUST055,INV1174,2026-08-24,41560,SUCCESS,RTGS,GW1174
TXN1087,CUST054,INV1087,2026-08-22,6730,SUCCESS,Netbanking,GW1087
TXN1201,CUST012,INV1201,2026-08-09,35160,FAILED,Card,GW1201
TXN1105,CUST076,INV1105,2026-07-28,3000,SUCCESS,Card,GW1105
TXN1100,CUST007,INV1100,2026-08-05,24140,SUCCESS,IMPS,GW1100
TXN1073,CUST030,INV1073,2026-07-25,1750,SUCCESS,IMPS,GW1073
