invoice_id,customer_id,invoice_amount,invoice_date,invoice_status
INV1001,CUST015,2750,2026-06-27,PAID
INV1100,CUST007,24140,2026-08-04,PAID
INV1067,CUST019,540,2026-08-09,PAID
INV1061,CUST054,3600,2026-08-08,PAID
INV1196,CUST010,44720,2026-07-11,PAID
INV1037,CUST011,2020,2026-08-20,PAID
INV1069,CUST068,17380,2026-07-31,PAID
INV1095,CUST048,33940,2026-07-28,PAID
INV1046,CUST065,2560,2026-07-29,PAID
INV1028,CUST017,8980,2026-08-15,PAID
INV1103,CUST020,2990,2026-08-16,PAID
INV1059,CUST056,30290,2026-06-30,PAID
INV1160,CUST017,23720,2026-08-13,PAID
INV1159,CUST002,2450,2026-07-22,PAID
INV1158,CUST017,2550,2026-08-02,PAID
INV1003,CUST078,41300,2026-06-30,PAID
INV1199,CUST008,6220,2026-07-22,UNPAID
INV1150,CUST015,5610,2026-07-07,PAID
INV1166,CUST071,2260,2026-08-14,PAID
INV1198,CUST009,15340,2026-07-30,UNPAID
INV1139,CUST074,2920,2026-07-20,PAID
INV1064,CUST066,3240,2026-08-10,PAID
INV1178,CUST044,10110,2026-07-09,PAID
INV1025,CUST058,8680,2026-07-03,PAID
INV1132,CUST009,2850,2026-07-15,PAID
INV1074,CUST070,6020,2026-07-25,PAID
INV1167,CUST059,16950,2026-07-24,PAID
INV1127,CUST050,30430,2026-07-11,PAID
INV1109,CUST076,23760,2026-08-09,PAID
INV1125,CUST039,19180,2026-08-20,PAID
INV1079,CUST059,17470,2026-07-18,PAID
INV1050,CUST040,830,2026-07-23,PAID
INV1038,CUST016,2520,2026-08-26,PAID
INV1007,CUST016,6290,2026-08-24,PAID
INV1013,CUST073,8480,2026-08-24,PAID
INV1119,CUST007,14000,2026-07-13,PAID
INV1172,CUST074,7540,2026-07-31,PAID
INV1187,CUST069,38310,2026-08-14,PAID
INV1035,CUST063,2060,2026-07-07,PAID
INV1154,CUST048,5990,2026-07-31,PAID
INV1195,CUST031,1700,2026-07-06,PAID
INV1031,CUST069,11910,2026-07-28,PAID
INV1115,CUST061,30520,2026-07-20,PAID
INV1014,CUST034,38400,2026-07-04,PAID
INV1072,CUST037,30480,2026-07-14,PAID
INV1066,CUST054,16770,2026-08-24,PAID
INV1048,CUST071,4000,2026-08-10,PAID
INV1098,CUST036,4800,2026-08-14,PAID
INV1200,CUST005,3520,2026-07-03,UNPAID
INV1052,CUST053,17070,2026-06-29,PAID
INV1045,CUST020,26900,2026-07-15,PAID
INV1130,CUST061,40420,2026-08-17,PAID
INV1094,CUST003,33250,2026-07-01,PAID
INV1118,CUST060,8070,2026-07-23,PAID
INV1092,CUST036,20330,2026-08-24,PAID
INV1197,CUST073,19160,2026-08-10,PAID
INV1041,CUST002,1320,2026-07-28,PAID
INV1152,CUST020,15730,2026-08-23,PAID
INV1194,CUST015,7980,2026-08-02,PAID
INV1191,CUST022,19130,2026-08-20,PAID
INV1027,CUST043,29130,2026-06-30,PAID
INV1060,CUST040,33190,2026-08-10,PAID
INV1062,CUST071,500,2026-08-19,PAID
INV1140,CUST002,39870,2026-08-04,PAID
INV1057,CUST014,10660,2026-08-04,PAID
INV1143,CUST012,10350,2026-08-26,PAID
INV1016,CUST020,17980,2026-08-06,PAID
INV1186,CUST001,7880,2026-07-31,PAID
INV1117,CUST012,10300,2026-07-16,PAID
INV1077,CUST060,1540,2026-08-27,PAID
INV1104,CUST077,17710,2026-08-17,PAID
INV1063,CUST057,35510,2026-07-26,PAID
INV1124,CUST036,45810,2026-08-16,PAID
INV1155,CUST012,40960,2026-08-09,PAID
INV1075,CUST049,10760,2026-07-27,PAID
INV1128,CUST020,36460,2026-07-28,PAID
INV1144,CUST070,13700,2026-08-22,PAID
INV1107,CUST001,16300,2026-07-25,PAID
INV1054,CUST059,3000,2026-07-21,PAID
INV1068,CUST067,910,2026-07-26,PAID
INV1012,CUST008,18190,2026-07-13,PAID
INV1161,CUST047,1390,2026-07-28,PAID
INV1008,CUST025,1070,2026-08-13,PAID
INV1011,CUST032,28850,2026-07-08,PAID
INV1145,CUST038,18180,2026-08-15,PAID
INV1087,CUST054,6730,2026-08-20,PAID
INV1177,CUST004,8520,2026-07-04,PAID
INV1170,CUST008,15980,2026-08-05,PAID
INV1149,CUST029,15410,2026-08-07,PAID
INV1044,CUST039,19390,2026-08-24,PAID
INV1174,CUST055,41560,2026-08-22,PAID
INV1024,CUST026,42010,2026-08-10,PAID
INV1137,CUST070,31320,2026-07-08,PAID
INV1169,CUST012,17200,2026-07-26,PAID
INV1180,CUST011,15850,2026-07-16,PAID
INV1071,CUST036,4770,2026-08-18,PAID
INV1179,CUST077,25160,2026-07-04,PAID
INV1051,CUST046,3830,2026-08-17,PAID
INV1065,CUST026,5760,2026-07-06,PAID
INV1021,CUST042,6830,2026-07-30,PAID
INV1073,CUST030,1750,2026-07-22,PAID
INV1171,CUST055,9710,2026-08-23,PAID
INV1181,CUST057,44740,2026-07-25,PAID
INV1058,CUST074,5730,2026-07-10,PAID
INV1083,CUST022,1440,2026-08-03,PAID
INV1042,CUST045,19410,2026-08-22,PAID
INV1043,CUST070,46450,2026-08-10,PAID
INV1078,CUST055,7980,2026-07-07,PAID
INV1040,CUST034,16000,2026-07-25,PAID
INV1182,CUST045,42220,2026-07-26,PAID
INV1032,CUST057,41370,2026-08-19,PAID
INV1015,CUST052,7270,2026-07-23,PAID
INV1129,CUST013,4240,2026-08-02,PAID
INV1111,CUST016,16460,2026-07-26,PAID
INV1203,CUST020,6700,2026-07-03,CANCELLED
INV1047,CUST006,24290,2026-06-27,PAID
INV1151,CUST069,32160,2026-07-04,PAID
INV1164,CUST080,16670,2026-08-08,PAID
INV1204,CUST011,28120,2026-08-31,PAID
INV1189,CUST003,30260,2026-07-29,PAID
INV1089,CUST056,2700,2026-08-18,PAID
INV1133,CUST057,2950,2026-07-08,PAID
INV1175,CUST024,3030,2026-07-16,PAID
INV1205,CUST057,14990,2026-08-31,PAID
INV1116,CUST053,9720,2026-08-10,PAID
INV1190,CUST074,9940,2026-07-25,PAID
INV1165,CUST038,4640,2026-07-28,PAID
INV1082,CUST017,14240,2026-07-28,PAID
INV1033,CUST022,12890,2026-07-23,PAID
INV1019,CUST034,1960,2026-07-28,PAID
INV1148,CUST014,20820,2026-08-08,PAID
INV1105,CUST076,3000,2026-07-26,PAID
INV1106,CUST028,1160,2026-07-15,PAID
INV1135,CUST023,3630,2026-07-04,PAID
INV1123,CUST032,26250,2026-07-29,PAID
INV1184,CUST077,560,2026-07-03,PAID
INV1183,CUST063,5740,2026-08-02,PAID
INV1102,CUST062,1040,2026-07-06,PAID
INV1080,CUST011,660,2026-07-30,PAID
INV1017,CUST049,28240,2026-08-03,PAID
INV1023,CUST061,37290,2026-08-25,PAID
INV1157,CUST043,49510,2026-08-17,PAID
INV1034,CUST001,17850,2026-07-20,PAID
INV1142,CUST013,10060,2026-08-25,PAID
INV1120,CUST004,16630,2026-08-05,PAID
