settlement_id,transaction_id,settlement_date,settled_amount,settlement_status,bank_reference
SET1034,TXN1034,2026-07-27,17850,SETTLED,BNK1034
SET1196,TXN1196,2026-08-05,44720,SETTLED,BNK1196
SET1037,TXN1037,2026-08-25,2020,SETTLED,BNK1037
SET1069,TXN1069,2026-08-07,17380,SETTLED,BNK1069
SET1143,TXN1143,2026-08-29,10350,SETTLED,BNK1143
SET1077,TXN1077,2026-08-29,1540,SETTLED,BNK1077
SET1107,TXN1107,2026-07-28,16300,SETTLED,BNK1107
SET1127,TXN1127,2026-07-17,30430,SETTLED,BNK1127
SET1189,TXN1189,2026-07-31,30260,SETTLED,BNK1189
SET1020,TXN1020,2026-07-14,1750,SETTLED,BNK1020
SET1156,TXN1156,2026-07-10,47190,SETTLED,BNK1156
SET1050,TXN1050,2026-07-25,830,SETTLED,BNK1050
SET1072,TXN1072,2026-07-17,30480,SETTLED,BNK1072
SET1083,TXN1083,2026-08-09,1440,SETTLED,BNK1083
SET1031,TXN1031,2026-07-30,11910,SETTLED,BNK1031
SET1009,TXN1009,2026-07-27,12430,SETTLED,BNK1009
SET1159,TXN1159,2026-07-25,2450,SETTLED,BNK1159
SET1187,TXN1187,2026-08-15,38310,SETTLED,BNK1187
SET1098,TXN1098,2026-08-18,4800,SETTLED,BNK1098
SET1146,TXN1146,2026-08-26,6480,SETTLED,BNK1146
SET1019,TXN1019,2026-08-04,1960,SETTLED,BNK1019
SET1004,TXN1004,2026-08-09,2780,SETTLED,BNK1004
SET1021,TXN1021,2026-08-02,6830,SETTLED,BNK1021
SET1066,TXN1066,2026-08-28,16770,SETTLED,BNK1066
SET1174,TXN1174,2026-08-25,41510,SETTLED,BNK1174
SET1153,TXN1153,2026-08-16,8560,SETTLED,BNK1153
SET1172,TXN1172,2026-08-03,7490,SETTLED,BNK1172
SET1171,TXN1171,2026-08-26,9660,SETTLED,BNK1171
SET1144,TXN1144,2026-08-28,13700,SETTLED,BNK1144
SET1008,TXN1008,2026-08-16,1070,SETTLED,BNK1008
SET1082,TXN1082,2026-08-02,14240,SETTLED,BNK1082
SET1036,TXN1036,2026-07-05,47940,SETTLED,BNK1036
SET1117,TXN1117,2026-07-22,10300,SETTLED,BNK1117
SET1079,TXN1079,2026-07-23,17470,SETTLED,BNK1079
SET1046,TXN1046,2026-08-03,2560,SETTLED,BNK1046
SET1120,TXN1120,2026-08-11,16630,SETTLED,BNK1120
SET1195,TXN1195,2026-07-21,1700,SETTLED,BNK1195
SET1104,TXN1104,2026-08-22,17710,SETTLED,BNK1104
SET1164,TXN1164,2026-08-11,16420,SETTLED,BNK1164
SET1057,TXN1057,2026-08-09,10660,SETTLED,BNK1057
SET1184,TXN1184,2026-07-04,560,SETTLED,BNK1184
SET1022,TXN1022,2026-08-31,6400,SETTLED,BNK1022
SET1126,TXN1126,2026-08-06,11180,SETTLED,BNK1126
SET1141,TXN1141,2026-08-23,3390,SETTLED,BNK1141
SET1116,TXN1116,2026-08-15,9720,SETTLED,BNK1116
SET1058,TXN1058,2026-07-14,5730,SETTLED,BNK1058
SET1040,TXN1040,2026-07-28,16000,SETTLED,BNK1040
SET1204,TXN1204,,0,PENDING,BNK1204
SET1139,TXN1139,2026-07-25,2920,SETTLED,BNK1139
SET1111,TXN1111,2026-08-01,16460,SETTLED,BNK1111
SET1158,TXN1158,2026-08-05,2550,SETTLED,BNK1158
SET1014,TXN1014,2026-07-11,38400,SETTLED,BNK1014
SET1042,TXN1042,2026-08-27,19410,SETTLED,BNK1042
SET1038,TXN1038,2026-08-31,2520,SETTLED,BNK1038
SET1138,TXN1138,2026-08-25,8260,SETTLED,BNK1138
SET1024,TXN1024,2026-08-17,42010,SETTLED,BNK1024
SET1106,TXN1106,2026-07-18,1160,SETTLED,BNK1106
SET1078,TXN1078,2026-07-11,7980,SETTLED,BNK1078
SET1056,TXN1056,2026-09-01,6890,SETTLED,BNK1056
SET1193,TXN1193,2026-08-18,3280,SETTLED,BNK1193
SET1055,TXN1055,2026-07-24,19160,SETTLED,BNK1055
SET1094,TXN1094,2026-07-08,33250,SETTLED,BNK1094
SET1152,TXN1152,2026-08-28,15730,SETTLED,BNK1152
SET1125,TXN1125,2026-08-25,19180,SETTLED,BNK1125
SET1160,TXN1160,2026-08-19,23720,SETTLED,BNK1160
SET1067,TXN1067,2026-08-12,540,SETTLED,BNK1067
SET1134,TXN1134,2026-07-25,28000,SETTLED,BNK1134
SET1191,TXN1191,2026-08-22,18630,SETTLED,BNK1191
SET1197,TXN1197,2026-09-04,19160,SETTLED,BNK1197
SET1129,TXN1129,2026-08-04,4240,SETTLED,BNK1129
SET1128,TXN1128,2026-08-02,36460,SETTLED,BNK1128
SET1048,TXN1048,2026-08-16,4000,SETTLED,BNK1048
SET1166,TXN1166,2026-08-17,2110,SETTLED,BNK1166
SET1099,TXN1099,2026-07-14,43200,SETTLED,BNK1099
SET1113,TXN1113,2026-07-16,17530,SETTLED,BNK1113
SET1103,TXN1103,2026-08-23,2990,SETTLED,BNK1103
SET1112,TXN1112,2026-08-10,34160,SETTLED,BNK1112
SET1095,TXN1095,2026-08-02,33940,SETTLED,BNK1095
SET1032,TXN1032,2026-08-22,41370,SETTLED,BNK1032
SET1070,TXN1070,2026-08-29,17180,SETTLED,BNK1070
SET1085,TXN1085,2026-08-15,6670,SETTLED,BNK1085
SET1013,TXN1013,2026-08-28,8480,SETTLED,BNK1013
SET1186,TXN1186,2026-08-01,7880,SETTLED,BNK1186
SET1074,TXN1074,2026-07-31,6020,SETTLED,BNK1074
SET1049,TXN1049,2026-08-24,3520,SETTLED,BNK1049
SET1157,TXN1157,2026-08-21,49510,SETTLED,BNK1157
SET1188,TXN1188,2026-07-06,3750,SETTLED,BNK1188
SET1122,TXN1122,2026-08-31,13340,SETTLED,BNK1122
SET1167,TXN1167,2026-07-27,16800,SETTLED,BNK1167
SET1102,TXN1102,2026-07-09,1040,SETTLED,BNK1102
SET1132,TXN1132,2026-07-17,2850,SETTLED,BNK1132
SET1080,TXN1080,2026-08-01,660,SETTLED,BNK1080
SET1081,TXN1081,2026-08-19,750,SETTLED,BNK1081
SET1011,TXN1011,2026-07-12,28850,SETTLED,BNK1011
SET1155,TXN1155,2026-08-13,40960,SETTLED,BNK1155
SET1175,TXN1175,2026-07-19,2930,SETTLED,BNK1175
SET1052,TXN1052,2026-07-03,17070,SETTLED,BNK1052
SET1076,TXN1076,2026-07-20,12960,SETTLED,BNK1076
SET1010,TXN1010,2026-08-13,42400,SETTLED,BNK1010
SET1118,TXN1118,2026-07-29,8070,SETTLED,BNK1118
SET1017,TXN1017,2026-08-09,28240,SETTLED,BNK1017
SET1170,TXN1170,2026-08-08,15680,SETTLED,BNK1170
SET1047,TXN1047,2026-07-02,24290,SETTLED,BNK1047
SET1123,TXN1123,2026-07-31,26250,SETTLED,BNK1123
SET1119,TXN1119,2026-07-16,14000,SETTLED,BNK1119
SET1045,TXN1045,2026-07-19,26900,SETTLED,BNK1045
SET1165,TXN1165,2026-07-31,4590,SETTLED,BNK1165
SET1087,TXN1087,2026-08-24,6730,SETTLED,BNK1087
SET1203,TXN1203,2026-07-07,-6700,REFUNDED,BNK1203
SET1091,TXN1091,2026-08-26,3160,SETTLED,BNK1091
SET1192,TXN1192,2026-07-17,33120,SETTLED,BNK1192
SET1035,TXN1035,2026-07-11,2060,SETTLED,BNK1035
SET1086,TXN1086,2026-07-25,12020,SETTLED,BNK1086
SET1149,TXN1149,2026-08-13,15410,SETTLED,BNK1149
SET1027,TXN1027,2026-07-06,29130,SETTLED,BNK1027
SET1161,TXN1161,2026-08-03,1390,SETTLED,BNK1161
SET1169,TXN1169,2026-07-29,16950,SETTLED,BNK1169
SET1062,TXN1062,2026-08-25,500,SETTLED,BNK1062
SET1089,TXN1089,2026-08-24,2700,SETTLED,BNK1089
SET1205,TXN1205,,0,PENDING,BNK1205
SET1092,TXN1092,2026-08-27,20330,SETTLED,BNK1092
SET1005,TXN1005,2026-07-12,2260,SETTLED,BNK1005
SET1065,TXN1065,2026-07-11,5760,SETTLED,BNK1065
SET1096,TXN1096,2026-07-19,3010,SETTLED,BNK1096
SET1194,TXN1194,2026-08-04,8180,SETTLED,BNK1194
SET1163,TXN1163,2026-07-06,1160,SETTLED,BNK1163
SET1012,TXN1012,2026-07-16,18190,SETTLED,BNK1012
SET1121,TXN1121,2026-07-07,2340,SETTLED,BNK1121
SET1100,TXN1100,2026-08-06,24140,SETTLED,BNK1100
SET1006,TXN1006,2026-08-26,3320,SETTLED,BNK1006
SET1142,TXN1142,2026-08-29,10060,SETTLED,BNK1142
SET1202,TXN1202,2026-08-01,-10270,REFUNDED,BNK1202
SET1130,TXN1130,2026-08-21,40420,SETTLED,BNK1130
SET1140,TXN1140,2026-08-08,39870,SETTLED,BNK1140
SET1135,TXN1135,2026-07-07,3630,SETTLED,BNK1135
SET1018,TXN1018,2026-08-21,6830,SETTLED,BNK1018
